Rk,Player,Season,Age,Tm,Lg,WS,OWS,OBPM,PER,BPM
244,Josh Richardson,2015-16,22,MIA,NBA,2.5,1.3,-1.1,11.4,-0.4
245,Josh Smith,2015-16,30,TOT,NBA,0,-1.2,-3.5,10.6,-3.1
246,Jrue Holiday,2015-16,25,NOP,NBA,3.4,2.2,2.7,19.7,2.1
247,Julius Randle,2015-16,21,LAL,NBA,1.6,-0.3,-1.9,13.9,-3.2
248,Justin Anderson,2015-16,22,DAL,NBA,1.1,0.3,-1.1,12.3,0.3
249,Justin Harper,2015-16,26,DET,NBA,0,0,-2.3,6.9,-4.2
250,Justin Holiday,2015-16,26,TOT,NBA,0.6,-0.3,-3.3,9.4,-3.1
251,Justise Winslow,2015-16,19,MIA,NBA,2.5,-0.2,-3.3,8.4,-2.6
252,Jusuf Nurkić,2015-16,21,DEN,NBA,0.4,-0.5,-3.6,16,-2.9
253,K.J. McDaniels,2015-16,22,HOU,NBA,0.2,0.1,-2.8,10.6,-3.9
254,Karl-Anthony Towns,2015-16,20,MIN,NBA,8.3,5.5,2.5,22.5,2.2
255,Kawhi Leonard,2015-16,24,SAS,NBA,13.7,8.3,6.1,26,9.1
256,Keith Appling,2015-16,23,ORL,NBA,-0.1,-0.1,-13.2,-4.8,-15.1
257,Kelly Olynyk,2015-16,24,BOS,NBA,4.1,2.1,1.2,16.3,1.9
258,Kelly Oubre,2015-16,20,WAS,NBA,0.4,-0.3,-4.6,8.2,-5.1
259,Kemba Walker,2015-16,25,CHO,NBA,9.9,6.3,3.5,20.8,4
260,Kendall Marshall,2015-16,24,PHI,NBA,-0.5,-0.7,-4.7,6.7,-7.3
261,Kendrick Perkins,2015-16,31,NOP,NBA,-0.1,-0.4,-5.2,6,-5
262,Kenneth Faried,2015-16,26,DEN,NBA,5.5,4,1.7,21,0.3
263,Kent Bazemore,2015-16,26,ATL,NBA,4.1,0.3,-1.2,13.4,0.3
264,Kentavious Caldwell-Pope,2015-16,22,DET,NBA,5.3,2.6,-1.1,12.4,-0.3
265,Kevin Durant,2015-16,27,OKC,NBA,14.5,11,8.4,28.2,9.9
266,Kevin Garnett,2015-16,39,MIN,NBA,1.1,0.4,-1.6,12.3,1.5
267,Kevin Love,2015-16,27,CLE,NBA,8.5,4.7,3,19,3.3
268,Kevin Martin,2015-16,32,TOT,NBA,1.2,0.7,-1.6,11.5,-3.2
269,Kevin Séraphin,2015-16,26,NYK,NBA,-0.2,-0.8,-4.4,10.8,-3.8
270,Kevon Looney,2015-16,19,GSW,NBA,0.1,0.1,1.6,18.6,-2.5
271,Khris Middleton,2015-16,24,MIL,NBA,6.1,4.3,1.2,16.8,0.6
272,Kirk Hinrich,2015-16,35,TOT,NBA,0.6,0.1,-3.9,7.2,-3.5
273,Klay Thompson,2015-16,25,GSW,NBA,8,5.5,3.4,18.6,1.8
274,Kobe Bryant,2015-16,37,LAL,NBA,-0.4,-0.9,0.9,14.9,-1.6
275,Kosta Koufos,2015-16,26,SAC,NBA,3.5,2.1,-1.3,15.1,-2
276,Kostas Papanikolaou,2015-16,25,DEN,NBA,-0.1,-0.4,-4.7,6,-4.5
277,Kris Humphries,2015-16,30,TOT,NBA,1.6,0.5,-1.6,13.1,-2
278,Kristaps Porziņģis,2015-16,20,NYK,NBA,4.4,1.5,0.6,17.7,0.9
279,Kyle Anderson,2015-16,22,SAS,NBA,3.5,0.7,-1.7,12.9,1.4
280,Kyle Korver,2015-16,34,ATL,NBA,4.1,1.2,-1.5,9.7,-1
281,Kyle Lowry,2015-16,29,TOR,NBA,11.6,8,4.7,22.2,5.8
282,Kyle O'Quinn,2015-16,25,NYK,NBA,1.6,0.5,-1,17.5,0.4
283,Kyle Singler,2015-16,27,OKC,NBA,1.1,0.3,-3.1,6.6,-3.2
284,Kyrie Irving,2015-16,23,CLE,NBA,5,3.2,3.2,19.9,2.3
285,Lamar Patterson,2015-16,24,ATL,NBA,0.2,-0.3,-5.4,5.1,-5.1
286,LaMarcus Aldridge,2015-16,30,SAS,NBA,10.1,5.6,2,22.4,2.3
287,Lance Stephenson,2015-16,25,TOT,NBA,2.2,0.9,-0.9,13.5,-1.2
288,Lance Thomas,2015-16,27,NYK,NBA,1.7,1.2,-1.7,10.4,-3.2
289,Langston Galloway,2015-16,24,NYK,NBA,3.3,1.4,-1.7,11.7,-1
290,Larry Nance,2015-16,23,LAL,NBA,2.2,1.3,-1.7,13.4,-1.5
291,Lavoy Allen,2015-16,26,IND,NBA,3.7,1.6,-1.7,12.4,-1.6
292,Leandro Barbosa,2015-16,33,GSW,NBA,2.1,0.9,-1.9,11.7,-2
293,LeBron James,2015-16,31,CLE,NBA,13.6,9.6,7,27.5,9
294,Lorenzo Brown,2015-16,25,PHO,NBA,-0.2,-0.3,-6.5,4.4,-8.4
295,Lou Amundson,2015-16,33,NYK,NBA,-0.1,-0.3,-6.7,6.7,-6.9
296,Lou Williams,2015-16,29,LAL,NBA,4.7,4.5,2.4,17.7,1.3
297,Luc Mbah a Moute,2015-16,29,LAC,NBA,1.6,0.2,-3.2,7.3,-2.6
298,Lucas Nogueira,2015-16,23,TOR,NBA,0.7,0.3,-1.7,15.6,0
299,Luis Montero,2015-16,22,POR,NBA,-0.2,-0.2,-9.8,-2.7,-15.5
300,Luis Scola,2015-16,35,TOR,NBA,3.3,1.4,-0.8,13.6,-1.1
