RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
176,"Chris Douglas-Roberts, SG",CHA,49,20.7,-0.7,0.19,-0.51,1.1
177,"Bradley Beal, SG",WSH,73,34.7,-0.61,0.08,-0.53,2.8
178,"Hedo Turkoglu, SF",LAC,38,10.3,-0.99,0.45,-0.54,0.5
179,"Kirk Hinrich, SG",CHI,73,29,-1.52,0.98,-0.54,2.2
180,"Luc Mbah a Moute, PF",MIN/SAC,64,15.7,-1.81,1.25,-0.56,1.1
181,"Victor Oladipo, SG",ORL,80,31.1,-1.53,0.97,-0.56,2.7
182,"Tyler Zeller, C",CLE,70,15,-2.06,1.49,-0.57,1.2
183,"Ray Allen, SG",MIA,73,26.5,2.38,-2.96,-0.58,2
184,"Jared Dudley, SF",LAC,74,23.4,-0.74,0.15,-0.59,1.9
185,"Shaun Livingston, PG",BKN,76,26,-0.11,-0.49,-0.6,2.1
186,"Nick Calathes, SG",MEM,71,16.5,-0.71,0.11,-0.6,1.2
187,"Jamal Crawford, SG",LAC,69,30.3,1.75,-2.38,-0.63,2.3
188,"Chase Budinger, SF",MIN,41,18.3,0.21,-0.84,-0.63,0.8
189,"Al Harrington, PF",WSH,34,15,-0.77,0.13,-0.64,0.5
190,"Alexey Shved, PG",MIN,63,10.5,-0.23,-0.47,-0.7,0.7
191,"Luigi Datome, SF",DET,34,7,-0.87,0.14,-0.73,0.2
192,"Kevin Martin, SG",MIN,68,32,1.25,-2,-0.75,2.3
193,"Quincy Pondexter, SG",MEM,15,18,0.04,-0.8,-0.76,0.3
194,"Jason Maxiell, PF",ORL,34,14.4,-3.25,2.48,-0.77,0.5
195,"Toure' Murry, SF",NY,51,7.3,-0.66,-0.11,-0.77,0.4
196,"C.J. Watson, PG",IND,63,18.9,0.15,-0.93,-0.78,1.2
197,"Luke Babbitt, SF",NO,27,17.5,1.01,-1.83,-0.82,0.4
198,"Kentavious Caldwell-Pope, SG",DET,80,19.8,-1.8,0.98,-0.82,1.6
199,"Donatas Motiejunas, PF",HOU,62,15.4,-1.37,0.53,-0.84,0.9
200,"Martell Webster, SF",WSH,78,27.7,1.97,-2.86,-0.89,1.9
201,"Rajon Rondo, PG",BOS,30,33.3,0.99,-1.92,-0.93,0.9
202,"Derrick Favors, PF",UTAH,73,30.2,-2.54,1.61,-0.93,1.9
